date,forecast,lower_bound,upper_bound
2020-06-30,194.2357899063516,0.0,651.392255500385
2020-07-31,222.4811837860881,0.0,732.4537589033317
2020-08-31,190.29977253236098,0.0,665.4871997716368
2020-09-30,241.92252974836398,0.0,741.1712412638548
2020-10-31,243.9898517295704,0.0,745.6779795349262
2020-11-30,294.28536440054296,0.0,763.1960951346379
2020-12-31,213.1516377170104,0.0,695.1409674474742
2021-01-31,146.10620356187508,0.0,575.6081452762029
2021-02-28,365.7321798006414,0.0,867.6877862448738
2021-03-31,424.49171541300746,0.0,873.9197680514405
2021-04-30,438.92536570695887,0.0,932.157367366176
2021-06-30,573.8498371601606,76.36172161120285,1035.8207949084388
2021-07-31,650.9479324879641,185.6938680016036,1130.0062423216964
2021-08-31,728.6988183515914,261.3650230995456,1199.8461899975564
2021-09-30,929.9601624039888,430.5730808825466,1419.297431484226
2021-10-31,1044.590929129387,539.367989501808,1521.66729592053
2021-11-30,1240.2371765293688,724.9289673699299,1734.1562224383094
2021-12-31,1051.7956496812292,580.7556520546128,1511.5847358442443
2022-01-31,944.5415254450943,466.4671161873921,1411.326804481284
2022-02-28,1230.9097560030125,738.2527174304199,1671.4143970792215
2022-03-31,1509.9070079119458,1063.904323349392,1983.6796182679652
2022-04-30,1604.4291166617957,1129.5249561084706,2043.0824670761363
2022-05-31,1924.6068656417706,1479.6436365067661,2386.9639770437657
2022-06-30,1713.9488163226397,1213.6750058068958,2190.7949239328923
2022-07-31,1752.162194332908,1260.0931482698825,2226.234332672613
2022-08-31,1898.2386254503208,1438.3618533663307,2334.7676818900914
2022-09-30,2054.321384239864,1566.6802173655506,2518.2487625087215
2022-10-31,2080.4353843502636,1580.653809832281,2540.5745465971427
2022-11-30,2331.1128916238295,1867.3724093106691,2821.315806345679
2022-12-31,1951.5597621146421,1471.4338581440861,2409.1090720119937
2023-01-31,1926.8409376056213,1426.1905031488907,2374.0960031342415
2023-02-28,1571.5007523818492,1113.7342867279722,2062.612750168519
2023-03-31,1808.5071935580422,1353.187273595125,2249.152475703568
2023-04-30,2349.95814981827,1882.6058899629284,2850.6855692808113
2023-05-31,3027.417616311801,2582.313571401376,3517.9428785955647
2023-06-30,2401.715944164035,1898.6832409360736,2870.21897316491
2023-07-31,1967.6708725220765,1522.698182839412,2458.027744546052
2023-08-31,2666.4355346383127,2204.07037260866,3118.4242175325485
2023-09-30,3084.290329060399,2616.224432595233,3571.0082112063765
2023-10-31,2843.3272018763373,2392.4319971256373,3306.3170262377007
2023-11-30,3252.479300242658,2788.706679754636,3750.830274547716
2023-12-31,2183.2058261873217,1698.8370432104682,2674.6485240760007
2024-01-31,2184.0537282842843,1702.6543766750797,2706.481851798538
2024-02-29,3041.8463462354043,2584.203167681579,3537.4221275035675
2024-03-31,4197.360120933597,3726.9469881199498,4650.270777383083
2024-04-30,2996.117364246025,2503.1196920541406,3501.465585886757
2024-05-31,3326.162637276151,2865.778764906369,3769.7507854716187
2024-06-30,2763.411797827217,2317.4734489958864,3237.910011832387
2024-07-31,3750.8368353694136,3232.4561077986923,4234.962877120782
2024-08-31,3431.529769209818,2968.996673465835,3874.391151842501
2024-09-30,2926.9611302780213,2490.324909348724,3387.9403152584773
2024-10-31,3927.9065370582985,3460.430546861525,4388.4257682335765
2024-11-30,3565.3239520433926,3074.077671138351,4061.42646137224
2024-12-31,2933.108704579365,2460.6209301648096,3358.82882254274
2025-01-31,3519.804190726721,3057.0273459420596,3995.48187267791
2025-02-28,2665.0809313955374,2124.328209831572,3130.2827409889683
2025-03-31,3806.7032638899177,3373.3181666300266,4271.286605718209
2025-04-30,3953.6367343455136,3455.6066531229453,4423.9915435394905
2025-05-31,4634.341645516102,4149.0171187173855,5097.530446061368
2025-06-30,4335.236024987772,3851.2676933532325,4853.837547891172
2025-07-31,4510.37787112567,4051.7521806593627,4991.659751182659
2025-08-31,3923.7345675111364,3432.596964130546,4386.780552347514
2025-09-30,4055.607109832872,3582.4598409203127,4520.320340135626
2025-10-31,4828.624158215089,4338.5385476104275,5312.920673399142
2025-11-30,4487.172623230834,4007.7323089897122,4938.817966309633
2025-12-31,626.5155852404716,131.69263905821194,1097.783352018035
2026-01-31,698.5255950954196,217.86955959136105,1154.739891145421
2026-02-28,4985.742868302734,4513.579992475608,5460.78469739256
2026-03-31,3391.6172759688375,2884.890753243498,3868.606856102073
2026-04-30,7899.26474156821,7403.088752899484,8417.827902674528
2026-05-31,6848.219379155787,6352.608164646498,7366.979760850302
2026-06-30,7594.047243337048,7043.629283519619,8186.223513859263
2026-07-31,2405.3148750177525,1907.6643598021744,2880.669911510801
2026-08-31,324.7243176718352,0.0,805.855660874008
2026-09-30,4298.698133085074,3736.150547895778,4867.023817630017
2026-10-31,443.18148162811667,0.0,896.46876476724
2026-11-30,4186.5676109284295,3623.6223693874967,4790.18476322692
2026-12-31,0.0,0.0,0.0
2027-01-31,0.0,0.0,0.0
2027-02-28,12705.074116053984,11106.291370040291,14246.736084572209
2027-03-31,5300.275007948897,4511.626314831683,6148.298931911505
2027-04-30,18627.746573702432,15964.771427731774,21286.603412514505
2027-05-31,14475.526073848669,12305.456525581189,16779.887947521143
2027-06-30,17443.2707685039,14807.477191834465,20263.283397966974
2027-07-31,3005.0636826228993,2277.949818593929,3710.0615093167266
2027-08-31,0.0,0.0,0.0
2027-09-30,10527.886761161317,8534.50780670476,12582.431010247059
2027-10-31,0.0,0.0,0.0
2027-11-30,10005.01775268721,7932.609198535553,12048.352856825919
2027-12-31,0.0,0.0,0.0
2028-01-31,0.0,0.0,0.0
2028-02-29,17732.90654247763,13637.632173877508,21980.024198335064
2028-03-31,15870.357673451712,12182.282550436781,19741.97541140796
2028-04-30,19749.198655065265,14829.729717718357,24497.2576764933
2028-05-31,11429.256325869643,8532.613863921357,14294.697603387827
2028-06-30,20346.342400805224,14995.158659702603,25768.641982946283
2028-07-31,15711.282993644687,11420.621013765483,19996.183020149558
2028-08-31,39.3821160674395,0.0,520.2057348560726
2028-09-30,6773.626719212482,4785.375730032405,8725.835748546682
2028-10-31,2298.7377573352665,1461.5147612029227,3080.915182588053
2028-11-30,7524.063588065368,5160.564640447146,9952.673926348116
2028-12-31,0.0,0.0,0.0
2029-01-31,0.0,0.0,0.0
2029-02-28,36982.87505395265,24712.16079823642,40504.0
2029-03-31,29060.648144772953,19244.86735435186,38369.99694575793
2029-04-30,40504.0,27654.695075525575,40504.0
2029-05-31,30733.195468036978,19853.290751193123,40504.0
2029-06-30,40504.0,27419.613563047238,40504.0
2029-07-31,28317.355926554308,18027.569537688607,38336.183667594225
2029-08-31,9063.077410236509,5700.679900965296,12336.147617864688
2029-09-30,25253.627072562536,15798.432034815834,34580.80779636652
2029-10-31,10874.615156617889,6670.655297286516,14916.078989899072
2029-11-30,25891.453440456127,16060.02368692556,35882.72602911629
2029-12-31,0.0,0.0,0.0
2030-01-31,0.0,0.0,0.0
2030-02-28,40504.0,35991.38787484583,40504.0
2030-03-31,40504.0,28893.67203077222,40504.0
2030-04-30,40504.0,40504.0,40504.0
2030-05-31,40504.0,34345.223882791695,40504.0
2030-06-30,40504.0,38794.37084562103,40504.0
2030-07-31,40504.0,26513.686720448393,40504.0
2030-08-31,29439.16120380576,16545.021965356365,40504.0
2030-09-30,40504.0,29285.934008041393,40504.0
2030-10-31,30459.57082688453,16546.07420479941,40504.0
2030-11-30,40504.0,29219.462591185944,40504.0
2030-12-31,15505.775445646206,8585.178584597854,22427.436064905276
