date,state,predicted_count,type
2030-09-30,Uttar Pradesh,380.9009,forecast
2030-10-31,Uttar Pradesh,389.05148,forecast
2030-11-30,Uttar Pradesh,391.19656,forecast
2030-12-31,Uttar Pradesh,379.2181,forecast
2026-01-31,Delhi,81.60057,forecast
2026-02-28,Delhi,61.318214,forecast
2026-03-31,Delhi,78.674225,forecast
2026-04-30,Delhi,63.064697,forecast
2026-05-31,Delhi,68.56587,forecast
2026-06-30,Delhi,71.522804,forecast
2026-07-31,Delhi,78.6369,forecast
2026-08-31,Delhi,72.01392,forecast
2026-09-30,Delhi,78.46878,forecast
2026-10-31,Delhi,74.82029,forecast
2026-11-30,Delhi,73.00598,forecast
2026-12-31,Delhi,74.46475,forecast
2027-01-31,Delhi,69.67106,forecast
2027-02-28,Delhi,75.132645,forecast
2027-03-31,Delhi,77.331635,forecast
2027-04-30,Delhi,71.94576,forecast
2027-05-31,Delhi,69.94039,forecast
2027-06-30,Delhi,78.31971,forecast
2027-07-31,Delhi,69.48116,forecast
2027-08-31,Delhi,84.46831,forecast
2027-09-30,Delhi,79.798996,forecast
2027-10-31,Delhi,71.04486,forecast
2027-11-30,Delhi,74.946945,forecast
2027-12-31,Delhi,78.993706,forecast
2028-01-31,Delhi,65.9546,forecast
2028-02-29,Delhi,81.35318,forecast
2028-03-31,Delhi,80.32271,forecast
2028-04-30,Delhi,69.26064,forecast
2028-05-31,Delhi,75.797806,forecast
2028-06-30,Delhi,70.89062,forecast
2028-07-31,Delhi,72.432205,forecast
2028-08-31,Delhi,81.19796,forecast
2028-09-30,Delhi,77.954185,forecast
2028-10-31,Delhi,72.17674,forecast
2028-11-30,Delhi,77.35313,forecast
2028-12-31,Delhi,72.37771,forecast
2029-01-31,Delhi,68.21788,forecast
2029-02-28,Delhi,83.63299,forecast
2029-03-31,Delhi,78.30864,forecast
2029-04-30,Delhi,69.84179,forecast
2029-05-31,Delhi,76.64317,forecast
2029-06-30,Delhi,68.13284,forecast
2029-07-31,Delhi,79.23841,forecast
2029-08-31,Delhi,77.30824,forecast
2029-09-30,Delhi,76.3409,forecast
2029-10-31,Delhi,74.79609,forecast
2029-11-30,Delhi,79.67583,forecast
2029-12-31,Delhi,70.65399,forecast
2030-01-31,Delhi,71.4291,forecast
2030-02-28,Delhi,75.52618,forecast
2030-03-31,Delhi,78.272415,forecast
2030-04-30,Delhi,71.94576,forecast
2030-05-31,Delhi,72.08763,forecast
2030-06-30,Delhi,69.06863,forecast
2030-07-31,Delhi,79.23841,forecast
2030-08-31,Delhi,73.57919,forecast
2030-09-30,Delhi,76.95114,forecast
2030-10-31,Delhi,74.79609,forecast
2030-11-30,Delhi,72.38191,forecast
2030-12-31,Delhi,74.51515,forecast
2026-01-31,Tamil Nadu,177.3356,forecast
2026-02-28,Tamil Nadu,189.55728,forecast
2026-03-31,Tamil Nadu,186.6214,forecast
2026-04-30,Tamil Nadu,191.89207,forecast
2026-05-31,Tamil Nadu,187.01068,forecast
2026-06-30,Tamil Nadu,187.62402,forecast
2026-07-31,Tamil Nadu,153.03844,forecast
2026-08-31,Tamil Nadu,156.11539,forecast
2026-09-30,Tamil Nadu,156.6034,forecast
2026-10-31,Tamil Nadu,159.6473,forecast
2026-11-30,Tamil Nadu,154.71294,forecast
2026-12-31,Tamil Nadu,145.90881,forecast
2027-01-31,Tamil Nadu,170.56055,forecast
2027-02-28,Tamil Nadu,171.92987,forecast
2027-03-31,Tamil Nadu,175.18678,forecast
2027-04-30,Tamil Nadu,165.7071,forecast
