feature,importance,importance_pct
rolling_avg_3m,1197.0,16.09087242908993
lag_1m,1181.0,15.875789756687727
yoy_growth,1005.0,13.509880360263477
lag_6m,838.0,11.264954967065465
lag_3m,760.0,10.216426939104718
month,746.0,10.02822960075279
rolling_avg_6m,691.0,9.28888291437021
days_since_start,619.0,8.32101088856029
year,320.0,4.3016534480440916
quarter,82.0,1.1022986960612986
